[12:36:57] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[12:36:57] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[12:36:57] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[12:36:57] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[12:36:58] INFO | main_api.py | lifespan | 🚀 服务启动成功
[12:37:15] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=M6P&distance=250&entitySelectingHelper.selectedEntity=m112&sortType=AGE_IN_DAYS&sortDir=ASC#listing=419816554/NONE/DEFAULT
[12:37:16] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=419816554 full_key=tesla_model 3_standard_range_plus_rwd_electric year=2021 (cohort_size=385)
[12:37:16] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 热度 1，排 1/385；高价值配置：前排座椅加热，导航系统；关键安全配置：防抱死制动，倒车影像，盲点监测，侧气帘
[12:51:12] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=M6P&distance=250&entitySelectingHelper.selectedEntity=m112&sortType=AGE_IN_DAYS&sortDir=ASC#listing=419816554/NONE/DEFAULT
[12:51:13] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=419816554 full_key=tesla_model 3_standard_range_plus_rwd_electric year=2021 (cohort_size=385)
[12:51:13] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 热度 1，排 1/385；高价值配置：前排座椅加热，导航系统；关键安全配置：防抱死制动，倒车影像，盲点监测，侧气帘
